Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Afrique du Nord et Moyen-Orient (hors revenu élevé),MNA,547127.401,873277.715,1281517.491,1309287.682,1368451.06,1388912.92,1449950.135,1440360.93,1475311.107,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Afrique du Nord et Moyen-Orient (BIRD et IDA),TMN,546265.656,871616.564,1279482.306,1307039.811,1366250.86,1386474.365,1447111.877,1437353.99,1472076.813,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Revenu intermédiaire,MIC,10685884.663939,10469890.9785665,18318574.3428216,19730643.178098,20416983.7842576,20582675.0937905,20915099.1507968,20940045.9899158,20947563.41167,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Amérique du Nord,NAC,5259086.722,6228582.85,5923404.109,5793265.946,5600088.386,5690058.231,5766676.529,5676901.035,5551808.664,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Non classifié,INX,..,..,..,..,..,..,..,..,..,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Pays membres de l'OCDE,OED,11371213.3702531,12879277.737,12710023.685,12512170.7,12322091.755,12366550.463,12201861.826,12115686.6263473,12004051.8897058,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Autres petits états,OSS,71965.6218684017,105560.151672181,174058.207304433,185169.32531387,195941.285109349,191060.35603022,215553.477481679,210093.767537427,208033.012737402,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Petits états insulaires du Pacifique,PSS,1746.93814084507,1877.504,2390.884,2284.541,2240.537,2552.232,2937.267,3465.315,3369.973,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,de Post-dividende démographique,PST,11224416.2141554,12260090.119,11902594.289,11636073.062,11439910.564,11458421.58,11273736.792,11131187.4172937,10949758.4701925,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,de Pré-dividende démographique,PRE,140853.268616956,219227.214717077,371677.579470473,428061.482852743,436353.014829895,460395.482661643,491022.594332708,475616.453516308,505151.062413133,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Petits états,SST,106581.559857411,150277.486112784,241997.606969923,251503.379925459,261023.884803436,258979.830564644,282285.731867483,276915.946137467,273210.867643369,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Asie du Sud,SAS,709443.489,1180858.341,1977587.431,2106042.441,2286205.818,2307899.79,2525679.253,2645135.445,2736913.121,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Asie du Sud (BIRD et IDA),TSA,709443.489,1180858.341,1977587.431,2106042.441,2286205.818,2307899.79,2525679.253,2645135.445,2736913.121,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Afrique subsaharienne,SSF,438428.227548207,568106.715918964,768840.371818098,807425.483343224,791616.76848885,806537.522307515,867107.577690299,831481.829347936,853107.127983807,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Afrique subsaharienne (hors revenu élevé),SSA,436840.506071829,564864.861194815,764510.329250403,803213.854428168,787259.249052583,802170.17616331,862445.954149086,826809.799395859,848185.57814681,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Afrique subsaharienne (BIRD et IDA),TSS,438428.227548207,568106.715918965,768840.371818098,807425.483343224,791616.76848885,806537.522307516,867107.577690299,831481.829347936,853107.127983808,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,"Revenu intermédiaire, tranche supérieure",UMC,8750710.82293141,8231009.7250735,15001684.641788,16231519.3858962,16702642.8111643,16846416.5892105,16932383.0920987,16838587.4511451,16718513.7758232,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Monde,WLD,22149402.399,24689911,33472376,34847501,35470891,35837591,36138285,..,..,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Afghanistan,AFG,2614.571,773.737,8463.436,12240.446,10755.311,9050.156,8467.103,9035.488,8672.455,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Albanie,ALB,5515.168,3021.608,4598.418,5240.143,4924.781,4913.78,5489.499,4616.753,4536.079,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Algérie,DZA,76970.33,87861.32,119177.5,121187.016,129987.816,134465.223,145411.218,153133.92,150005.969,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Samoa américaines,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Andorre,AND,407.037,524.381,517.047,491.378,487.711,476.71,462.042,465.709,469.376,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Angola,AGO,5115.465,9541.534,29057.308,30586.447,34176.44,33692.396,44851.077,34583.477,34693.487,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Antigua-et-Barbuda,ATG,282.359,344.698,524.381,513.38,524.381,524.381,528.048,546.383,557.384,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Argentine,ARG,112147.861,142136.587,187904.414,191622.752,193027.213,193701.941,195777.463,201167.953,201347.636,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Arménie,ARM,..,3465.315,4209.716,4917.447,5694.851,5496.833,5529.836,4803.77,5155.802,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Aruba,ABW,487.711,2379.883,2508.228,2500.894,1349.456,861.745,872.746,898.415,883.747,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Australie,AUS,263704.971,329443.28,390861.863,391818.95,388126.281,372317.844,361316.844,365332.209,375907.837,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Autriche,AUT,57791.92,62265.66,67564.475,65063.581,62324.332,62529.684,58903.021,61264.569,61447.919,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Azerbaïdjan,AZE,..,29508.349,30678.122,33248.689,35397.551,35496.56,37385.065,37597.751,37619.753,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Bahamas,BHS,1840.834,1950.844,2387.217,1800.497,1906.84,2871.261,2350.547,2016.85,1785.829,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Bahreïn,BHR,12427.463,18819.044,29266.327,28848.289,27553.838,31407.855,31367.518,32892.99,31693.881,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Bangladesh,BGD,14161.954,27627.178,60223.141,63233.748,67670.818,69456.647,73758.038,81073.703,84245.658,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Barbade,BRB,1070.764,1151.438,1477.801,1529.139,1470.467,1448.465,1254.114,1254.114,1276.116,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Bélarus,BLR,..,53787.556,63043.064,64062.49,62969.724,63054.065,62801.042,58279.631,58279.631,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Belgique,BEL,106049.64,115118.131,110259.356,99969.754,95132.981,97501.863,93563.505,99346.364,96889.474,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Belize,BLZ,311.695,396.036,539.049,601.388,476.71,513.38,495.045,579.386,568.385,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Bénin,BEN,707.731,1598.812,5089.796,5060.46,4803.77,5042.125,5375.822,6065.218,6475.922,..,..,..
